District,Taluka,UC,Deh,Settlement,Latitude,Longitude,Sensitive Receptor (within 200m),SMP,
Badin,Shaheed fazaul rahoo,Golarchi,Golarchi,Chak25 Mallah paro,24.6462571,68.4957154,School masoque,NRSP,
Badin,Matli ,Dumbalo ,Kalwari,Sono kholi,25.1608432,68.9733992,Mandar jomaron canal,NRSP,
Badin,Matli ,Dumbalo ,Kalwari ,Mehgraj mohla,25.1699897,68.9489294,Mandar ghro canal,NRSP,
Badin,Shaheed fazal raho,Kandiari,Petial,photo khan koso,24.6440223,68.6216581,"Mosque,School,Dubi canal",NRSP,
Badin,Shaheed fazal raho,Tarai,Tarai,Magwar mohalla,24.6874152,68.6717907,"Mosque ,hospital",NRSP,
Badin,Shaheed fazal raho,Tarai,Aseli,Umaid ali mallah,24.6769472,68.6656842,"Mosque,school",NRSP,
Dadu,K n shah,Parya,Sukhpur,Potho Machi,27.0956471,67.8005446,Nil,TRDP,
Dadu,k n shah,Thalho,Fekhratho,Peer jo Goth,27.0949401,67.7512225,canal,TRDP,
Dadu,k n shah,thalho,thalho,Saindad Lakhiar,27.109636,67.7666739,,TRDP,
Dadu,K N SHAH,Thalho,Jakhiro,Goth Murad khoso,27.1258474,67.7510212,school,TRDP,
Dadu,K n shah,Kakar,Dur Muhammad Abro,Usman Qambrani,26.9344327,67.6805084,No,TRDP,
Dadu,K n shah,Kakar,Dur Muhammad,Dur Muhammad Abro,26.9307833,67.6978164,"mosque,school",TRDP,
Dadu,K n shah,Thalho,Thalho,Mudd Machi,27.1005354,67.7921793,No,TRDP,
Dadu,Mehar,Kolachi,Kolachi,Misri Khoso,27.1564508,67.7750858,,TRDP,
Dadu,Johi,Kamal khan,Dara machi,Meeran solangi,26.6344057,67.626661,,TRDP,
Dadu,Mehar,Baledai,Durbo,Rahim dad sohoo,27.2960843,67.7903486,,TRDP,
Dadu,K n shah,Thalho,Thalho,jahan khan sodhar,27.1097769,67.7920531,,TRDP,
Dadu,K n shah,Thalho,Thalho,Ali M lashari.,27.109736,67.784391,,TRDP,
